,Ngày,Giá điều chỉnh,Giá đóng cửa,Giá bình quân,thay đổi,KL1,GT1,KL2,GT2,Giá tham chiếu,Giá mở cửa,Giá cao nhất,Giá thấp nhất
0,09/12/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,"2,800 ","76,160,000 ",32.00 ,32.00 ,32.00 ,32.00 
1,08/12/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),1 ,"34,400 ",0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
2,07/12/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
3,06/12/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),200 ,"6,400,000 ",0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
4,03/12/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),1 ,"32,000 ",0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
5,02/12/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
6,01/12/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
7,30/11/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
8,29/11/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
9,26/11/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),201 ,"6,435,100 ",0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
10,25/11/2021,32.00 ,32.00 ,32.00 ,-0.30 (-0.93 %),100 ,"3,200,000 ",0 ,0 ,32.30 ,32.00 ,32.00 ,32.00 
11,24/11/2021,32.30 ,32.30 ,32.30 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.30 ,32.3 ,32.30 ,32.30 
12,23/11/2021,32.30 ,32.30 ,32.30 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.30 ,32.30 ,32.30 ,32.30 
13,22/11/2021,32.30 ,32.30 ,32.30 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.30 ,32.3 ,32.30 ,32.30 
14,19/11/2021,32.30 ,32.30 ,32.30 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.30 ,32.30 ,32.30 ,32.30 
15,18/11/2021,32.30 ,32.30 ,32.30 ,0.00 (0.00 %),7 ,"259,700 ","2,000 ","55,000,000 ",32.30 ,32.3 ,32.30 ,32.30 
16,17/11/2021,32.30 ,32.30 ,32.30 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.30 ,32.30 ,32.30 ,32.30 
17,16/11/2021,32.30 ,32.30 ,32.30 ,-5.70 (-15.00 %),800 ,"25,840,000 ",0 ,0 ,38.00 ,32.3 ,32.30 ,32.30 
18,15/11/2021,38.00 ,38.00 ,38.00 ,4.80 (14.46 %),100 ,"3,800,000 ",0 ,0 ,33.20 ,38.00 ,38.00 ,38.00 
19,12/11/2021,32.00 ,32.00 ,32.00 ,-2.70 (-7.78 %),"1,511 ","50,241,700 ",0 ,0 ,34.70 ,33.5 ,33.50 ,32.00 
20,11/11/2021,34.70 ,34.70 ,34.70 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,34.70 ,34.70 ,34.70 ,34.70 
21,10/11/2021,34.70 ,34.70 ,34.70 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,34.70 ,34.7 ,34.70 ,34.70 
22,09/11/2021,34.70 ,34.70 ,34.70 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,34.70 ,34.70 ,34.70 ,34.70 
23,08/11/2021,36.00 ,36.00 ,36.00 ,0.10 (0.28 %),900 ,"31,230,000 ",0 ,0 ,35.90 ,32.0 ,36.40 ,32.00 
24,05/11/2021,35.90 ,35.90 ,35.90 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,35.90 ,35.90 ,35.90 ,35.90 
25,04/11/2021,35.90 ,35.90 ,35.90 ,0.00 (0.00 %),12 ,"432,000 ",0 ,0 ,35.90 ,35.9 ,35.90 ,35.90 
26,03/11/2021,36.00 ,36.00 ,36.00 ,0.10 (0.28 %),300 ,"10,780,000 ",0 ,0 ,35.90 ,35.90 ,36.00 ,35.90 
27,02/11/2021,35.90 ,35.90 ,35.90 ,0.00 (0.00 %),8 ,"287,200 ",0 ,0 ,35.90 ,35.9 ,35.90 ,35.90 
28,01/11/2021,35.90 ,35.90 ,35.90 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,35.90 ,35.90 ,35.90 ,35.90 
29,29/10/2021,35.90 ,35.90 ,35.90 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,35.90 ,35.9 ,35.90 ,35.90 
30,28/10/2021,35.90 ,35.90 ,35.90 ,0.00 (0.00 %),"1,000 ","35,900,000 ",0 ,0 ,35.90 ,35.90 ,35.90 ,35.90 
31,27/10/2021,35.90 ,35.90 ,35.90 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,35.90 ,35.9 ,35.90 ,35.90 
32,26/10/2021,35.90 ,35.90 ,35.90 ,3.90 (12.19 %),300 ,"10,770,000 ",0 ,0 ,32.00 ,35.90 ,35.90 ,35.90 
33,25/10/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
34,22/10/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
35,21/10/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
36,20/10/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
37,19/10/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
38,18/10/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
39,15/10/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
40,14/10/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
41,13/10/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
42,12/10/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
43,11/10/2021,32.00 ,32.00 ,32.00 ,-5.00 (-13.51 %),501 ,"16,047,000 ",0 ,0 ,37.00 ,32.1 ,32.10 ,32.00 
44,08/10/2021,37.00 ,37.00 ,37.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,37.00 ,37.00 ,37.00 ,37.00 
45,07/10/2021,37.00 ,37.00 ,37.00 ,0.00 (0.00 %),520 ,"19,340,000 ",0 ,0 ,37.00 ,37.0 ,37.00 ,37.00 
46,06/10/2021,37.00 ,37.00 ,37.00 ,1.40 (3.93 %),501 ,"18,540,900 ",0 ,0 ,35.60 ,37.00 ,37.00 ,37.00 
47,05/10/2021,35.60 ,35.60 ,35.60 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,35.60 ,35.6 ,35.60 ,35.60 
48,04/10/2021,35.60 ,35.60 ,35.60 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,35.60 ,35.60 ,35.60 ,35.60 
49,01/10/2021,35.60 ,35.60 ,35.60 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,35.60 ,35.6 ,35.60 ,35.60 
50,30/09/2021,35.60 ,35.60 ,35.60 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,35.60 ,35.60 ,35.60 ,35.60 
51,29/09/2021,35.60 ,35.60 ,35.60 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,35.60 ,35.6 ,35.60 ,35.60 
52,28/09/2021,35.60 ,35.60 ,35.60 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,35.60 ,35.60 ,35.60 ,35.60 
53,27/09/2021,35.60 ,35.60 ,35.60 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,35.60 ,35.6 ,35.60 ,35.60 
54,24/09/2021,35.60 ,35.60 ,35.60 ,-0.40 (-1.11 %),300 ,"10,680,000 ",0 ,0 ,36.00 ,35.60 ,35.60 ,35.60 
55,23/09/2021,36.00 ,36.00 ,36.00 ,0.00 (0.00 %),900 ,"32,400,000 ",0 ,0 ,36.00 ,36.0 ,36.00 ,36.00 
56,22/09/2021,36.00 ,36.00 ,36.00 ,0.00 (0.00 %),100 ,"3,600,000 ",0 ,0 ,36.00 ,36.00 ,36.00 ,36.00 
57,21/09/2021,36.00 ,36.00 ,36.00 ,-0.20 (-0.55 %),100 ,"3,600,000 ",0 ,0 ,36.20 ,36.0 ,36.00 ,36.00 
58,20/09/2021,36.00 ,36.00 ,36.00 ,3.00 (9.09 %),800 ,"28,960,000 ",0 ,0 ,33.00 ,36.40 ,36.40 ,36.00 
59,17/09/2021,33.00 ,33.00 ,33.00 ,-0.60 (-1.79 %),200 ,"6,600,000 ",0 ,0 ,33.60 ,33.0 ,33.00 ,33.00 
60,16/09/2021,33.50 ,33.50 ,33.50 ,-0.30 (-0.89 %),600 ,"20,130,000 ",0 ,0 ,33.80 ,33.60 ,33.60 ,33.50 
61,15/09/2021,33.80 ,33.80 ,33.80 ,-0.20 (-0.59 %),400 ,"13,520,000 ",0 ,0 ,34.00 ,33.8 ,33.80 ,33.80 
62,14/09/2021,34.00 ,34.00 ,34.00 ,2.50 (7.94 %),300 ,"10,200,000 ",0 ,0 ,31.50 ,34.00 ,34.00 ,34.00 
63,13/09/2021,31.30 ,31.30 ,31.30 ,0.30 (0.97 %),800 ,"25,160,000 ",0 ,0 ,31.00 ,31.5 ,31.50 ,31.30 
64,10/09/2021,31.00 ,31.00 ,31.00 ,-2.00 (-6.06 %),300 ,"9,290,000 ",0 ,0 ,33.00 ,30.90 ,31.00 ,30.90 
65,09/09/2021,33.00 ,33.00 ,33.00 ,3.10 (10.37 %),"2,400 ","79,130,000 ",0 ,0 ,29.90 ,33.4 ,33.40 ,32.90 
66,08/09/2021,29.90 ,29.90 ,29.90 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,29.90 ,29.90 ,29.90 ,29.90 
67,07/09/2021,29.90 ,29.90 ,29.90 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,29.90 ,29.9 ,29.90 ,29.90 
68,06/09/2021,29.90 ,29.90 ,29.90 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,29.90 ,29.90 ,29.90 ,29.90 
69,01/09/2021,29.90 ,29.90 ,29.90 ,-3.30 (-9.94 %),"2,100 ","62,850,000 ",0 ,0 ,33.20 ,29.6 ,30.00 ,29.60 
70,31/08/2021,33.20 ,33.20 ,33.20 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,33.20 ,33.20 ,33.20 ,33.20 
71,30/08/2021,33.20 ,33.20 ,33.20 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,33.20 ,33.2 ,33.20 ,33.20 
72,27/08/2021,33.00 ,33.00 ,33.00 ,-0.30 (-0.90 %),200 ,"6,630,000 ",0 ,0 ,33.30 ,33.30 ,33.30 ,33.00 
73,26/08/2021,33.30 ,33.30 ,33.30 ,-0.10 (-0.30 %),"2,000 ","66,600,000 ",0 ,0 ,33.40 ,33.3 ,33.30 ,33.30 
74,25/08/2021,33.40 ,33.40 ,33.40 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,33.40 ,33.40 ,33.40 ,33.40 
75,24/08/2021,33.40 ,33.40 ,33.40 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,33.40 ,33.4 ,33.40 ,33.40 
76,23/08/2021,35.40 ,35.40 ,35.40 ,2.20 (6.63 %),"2,000 ","66,720,000 ",0 ,0 ,33.20 ,32.00 ,35.40 ,32.00 
77,20/08/2021,30.10 ,30.10 ,30.10 ,0.90 (3.08 %),"1,000 ","33,160,000 ",0 ,0 ,29.20 ,33.5 ,33.50 ,30.10 
78,19/08/2021,29.20 ,29.20 ,29.20 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,29.20 ,29.20 ,29.20 ,29.20 
79,18/08/2021,29.20 ,29.20 ,29.20 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,29.20 ,29.2 ,29.20 ,29.20 
80,17/08/2021,29.20 ,29.20 ,29.20 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,29.20 ,29.20 ,29.20 ,29.20 
81,16/08/2021,29.20 ,29.20 ,29.20 ,-0.80 (-2.67 %),"1,000 ","29,200,000 ",0 ,0 ,30.00 ,29.2 ,29.20 ,29.20 
82,13/08/2021,30.00 ,30.00 ,30.00 ,0.50 (1.69 %),100 ,"3,000,000 ",0 ,0 ,29.50 ,30.00 ,30.00 ,30.00 
83,12/08/2021,29.50 ,29.50 ,29.50 ,-2.40 (-7.52 %),300 ,"8,850,000 ",0 ,0 ,31.90 ,29.5 ,29.50 ,29.50 
84,11/08/2021,32.10 ,32.10 ,32.10 ,0.10 (0.31 %),"1,200 ","38,250,000 ",0 ,0 ,32.00 ,30.00 ,32.10 ,30.00 
85,10/08/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),100 ,"3,200,000 ",0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
86,09/08/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),200 ,"6,400,000 ",0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
87,06/08/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),700 ,"22,400,000 ",0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
88,05/08/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
89,04/08/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,32.00 ,32.0 ,32.00 ,32.00 
90,03/08/2021,32.00 ,32.00 ,32.00 ,0.00 (0.00 %),100 ,"3,200,000 ",0 ,0 ,32.00 ,32.00 ,32.00 ,32.00 
91,02/08/2021,33.00 ,33.00 ,33.00 ,2.10 (6.80 %),200 ,"6,400,000 ",0 ,0 ,30.90 ,31.0 ,33.00 ,31.00 
92,30/07/2021,30.90 ,30.90 ,30.90 ,0.40 (1.31 %),"11,000 ","339,900,000 ",0 ,0 ,30.50 ,30.90 ,30.90 ,30.90 
93,29/07/2021,30.50 ,30.50 ,30.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,30.50 ,30.5 ,30.50 ,30.50 
94,28/07/2021,30.50 ,30.50 ,30.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,30.50 ,30.50 ,30.50 ,30.50 
95,27/07/2021,30.50 ,30.50 ,30.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,30.50 ,30.5 ,30.50 ,30.50 
96,26/07/2021,30.50 ,30.50 ,30.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,30.50 ,30.50 ,30.50 ,30.50 
97,23/07/2021,30.50 ,30.50 ,30.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,30.50 ,30.5 ,30.50 ,30.50 
98,22/07/2021,30.50 ,30.50 ,30.50 ,0.00 (0.00 %),3 ,"91,500 ",0 ,0 ,30.50 ,30.50 ,30.50 ,30.50 
99,21/07/2021,30.50 ,30.50 ,30.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,30.50 ,30.5 ,30.50 ,30.50 
100,20/07/2021,30.50 ,30.50 ,30.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,30.50 ,30.50 ,30.50 ,30.50 
101,19/07/2021,30.50 ,30.50 ,30.50 ,0.20 (0.66 %),"10,403 ","316,964,400 ",0 ,0 ,30.30 ,30.5 ,30.50 ,30.30 
102,16/07/2021,30.50 ,30.50 ,30.50 ,-0.20 (-0.65 %),"3,500 ","106,000,000 ",0 ,0 ,30.70 ,30.00 ,30.50 ,30.00 
103,15/07/2021,31.00 ,31.00 ,31.00 ,0.50 (1.64 %),"2,900 ","88,920,000 ",0 ,0 ,30.50 ,30.5 ,31.00 ,30.50 
104,14/07/2021,30.50 ,30.50 ,30.50 ,0.00 (0.00 %),0 ,0 ,0 ,0 ,30.50 ,30.50 ,30.50 ,30.50 
105,13/07/2021,30.90 ,30.90 ,30.90 ,0.00 (0.00 %),800 ,"24,430,000 ",0 ,0 ,30.90 ,30.4 ,30.90 ,30.40 
106,12/07/2021,30.90 ,30.90 ,30.90 ,3.80 (14.02 %),100 ,"3,090,000 ",0 ,0 ,27.10 ,30.90 ,30.90 ,30.90 
107,09/07/2021,26.70 ,26.70 ,26.70 ,-4.60 (-14.70 %),"5,000 ","135,370,000 ","2,200 ","58,740,000 ",31.30 ,28.7 ,28.70 ,26.70 
108,07/07/2021,31.30 ,31.30 ,31.30 ,0.00 (0.00 %),600 ,"18,780,000 ",0 ,0 ,31.30 ,31.30 ,31.30 ,31.30 
